model,step,b,derivative
0.1M,2000,0.1139224469661712,-5.112428001241264
0.1M,3000,0.1240391656756401,-8.47815142104052
0.1M,4000,0.1336166709661483,-12.064927610191235
0.1M,5000,0.1432463824748993,-14.832597723133224
0.1M,6000,0.1528920531272888,-11.924745485161726
0.1M,7000,0.1617010831832885,-8.602338234398642
0.1M,8000,0.1692220866680145,-7.9142861671480285
0.1M,9000,0.1759401857852935,-6.433966959746675
0.1M,10000,0.1818930506706237,-5.31444782097179
0.1M,11000,0.1872773170471191,-4.5583977062644925
0.1M,12000,0.1920281052589416,-4.87153152248923
0.1M,13000,0.1965128481388092,-3.9010661669423516
0.1M,14000,0.2004467695951461,-4.539694470854411
0.1M,15000,0.20424684882164,-3.2403472682426715
0.1M,16000,0.2077415734529495,-2.9676308484737466
0.1M,17000,0.2110392600297927,-3.4574281531288182
0.1M,18000,0.2140294313430786,-3.5262065013180117
0.1M,19000,0.2167674005031585,-3.111111014357099
10K,2000,0.2309520244598388,-3.488578642138424
10K,3000,0.2490987628698349,-1.8296968238809739
10K,4000,0.2622690498828888,-1.4808765810217155
10K,5000,0.2724983096122741,-1.326067061534752
10K,6000,0.281218022108078,-1.3989739733752904
10K,7000,0.2891390919685364,-1.908201228803565
10K,8000,0.2978563010692596,-2.2215604049216577
10K,9000,0.3062657713890075,-2.302109683706909
10K,10000,0.3139978945255279,-1.894676292267778
10K,11000,0.3209582567214966,-3.3477571922192597
10K,12000,0.3276099264621734,-5.209805683870042
10K,13000,0.3335104286670685,-6.743316362607765
10K,14000,0.3397164940834045,-5.691796140049286
10K,15000,0.3456091582775116,-4.529201062081137
10K,16000,0.3517666161060333,-3.8895513285901115
10K,17000,0.3573032319545746,-4.166299992464098
10K,18000,0.3628179132938385,-3.366392927011236
10K,19000,0.3674682974815368,-3.9648141193660313
10M,2000,0.0208368897438049,-79.53437545263499
10M,3000,0.0229306351393461,-55.53914854132862
10M,4000,0.024775618687272,-51.05652856384376
10M,5000,0.0266558732837438,-47.94595050393542
10M,6000,0.0286354422569274,-50.321503162011865
10M,7000,0.0307138115167617,-48.214224424098376
10M,8000,0.0328038781881332,-49.072790919849076
10M,9000,0.0349158905446529,-45.11752199090204
10M,10000,0.0369357354938983,-43.88635221819442
10M,11000,0.0389029346406459,-39.83625198365343
10M,12000,0.0407650507986545,-35.57865481796776
10M,13000,0.0425236485898494,-31.473071536001225
10M,14000,0.0441862158477306,-28.76708934957323
10M,15000,0.0457419045269489,-22.774747534733958
10M,16000,0.0471906028687953,-18.930033120587577
10M,17000,0.0485320687294006,-17.73331807818373
10M,18000,0.0497835166752338,-14.567033664451028
10M,19000,0.050956841558218,-11.18265454245228
1M,2000,0.0619801096618175,-36.13668321609884
1M,3000,0.0716766640543937,-19.963460556863748
1M,4000,0.0785387828946113,-14.16689367634504
1M,5000,0.0836000218987464,-11.492022116624662
1M,6000,0.0876754969358444,-11.084346390591314
1M,7000,0.091161660850048,-8.706425107660918
1M,8000,0.0940642282366752,-9.49677516068746
1M,9000,0.0965991467237472,-6.513330296181162
1M,10000,0.0988774076104164,-8.330029334527975
1M,11000,0.1009578108787536,-7.632498576427136
1M,12000,0.102813683450222,-6.669529770244474
1M,13000,0.1045552194118499,-7.822754882457644
1M,14000,0.1062122657895088,-5.968321935208161
1M,15000,0.1077201664447784,-6.011937130349327
1M,16000,0.1091244667768478,-4.6184891926020155
1M,17000,0.1104894578456878,-9.933134940995513
1M,18000,0.1118073835968971,-2.6193470481486285
1M,19000,0.1130517870187759,-6.093229953119821
