model,step,order_parameter_b,hidden_magnetization,validation_loss
10M,0,0.012124575674533844,1.2324114561080932,4.28656759262085
10M,1000,0.017711976543068886,2.0885672092437746,1.722616958618164
10M,2000,0.02083689160645008,2.13053822517395,1.5189626932144165
10M,3000,0.022930635139346123,2.1812723159790037,1.5304028272628785
10M,4000,0.024775618687272072,2.2196393966674806,1.4812228679656982
10M,5000,0.02665586769580841,2.270859718322754,1.5132466554641724
10M,6000,0.028635434806346893,2.304707431793213,1.589418077468872
10M,7000,0.03071380965411663,2.3586635112762453,1.6384203910827637
10M,8000,0.03280387446284294,2.416661500930786,1.6870633125305177
10M,9000,0.034915901720523834,2.491287183761597,1.7801043272018433
10M,10000,0.036935728043317795,2.5771485805511474,1.9161176681518555
10M,11000,0.038902927190065384,2.660372591018677,2.132590389251709
10M,12000,0.04076506569981575,2.73772554397583,2.137755537033081
10M,13000,0.04252364858984947,2.804404878616333,2.2012970447540283
10M,14000,0.04418623074889183,2.8977550506591796,2.366959285736084
10M,15000,0.04574190080165863,2.9562222480773928,2.4429111003875734
10M,16000,0.0471905954182148,3.0163300037384033,2.4091864109039305
10M,17000,0.04853205382823944,3.100174570083618,2.6121161937713624
10M,18000,0.04978351294994354,3.143259382247925,2.576230049133301
10M,19000,0.050956856459379196,3.2160346031188967,2.6901150226593016
1M,0,0.036158278584480286,1.2040302276611328,4.338500308990478
1M,1000,0.05081811174750328,2.3131507873535155,2.262665271759033
1M,2000,0.061980120837688446,1.7877368450164794,1.9343017101287843
1M,3000,0.07167666405439377,1.858765196800232,1.832566785812378
1M,4000,0.07853878289461136,1.9771738529205323,1.7129591464996339
1M,5000,0.08360002934932709,2.0831286907196045,1.6870968818664551
1M,6000,0.08767548203468323,2.181610441207886,1.6398518323898315
1M,7000,0.09116166830062866,2.245999574661255,1.5958447456359863
1M,8000,0.09406422823667526,2.3124372959136963,1.5407305240631104
1M,9000,0.09659912437200546,2.3783440589904785,1.611251449584961
1M,10000,0.09887738525867462,2.4293951034545898,1.5637041330337524
1M,11000,0.10095781087875366,2.4743597984313963,1.506408166885376
1M,12000,0.10281369090080261,2.516978645324707,1.5721657752990723
1M,13000,0.10455521941184998,2.540988826751709,1.5380317449569703
1M,14000,0.10621224343776703,2.5886929035186768,1.5450046062469482
1M,15000,0.10772016644477844,2.609296703338623,1.5126449584960937
1M,16000,0.10912445932626724,2.6507551670074463,1.5255357265472411
1M,17000,0.11048943549394608,2.6426992416381836,1.571727180480957
1M,18000,0.11180736124515533,2.6965518474578856,1.507750654220581
1M,19000,0.11305180191993713,2.70710825920105,1.4866973400115966
0.1M,0,0.07180529832839966,1.1626582622528077,4.395231246948242
0.1M,1000,0.10062035173177719,2.41758279800415,2.508131504058838
0.1M,2000,0.11392244696617126,2.2534547328948973,2.442236232757568
0.1M,3000,0.1240391656756401,1.9380610466003418,2.366939401626587
0.1M,4000,0.13361667096614838,1.7494487762451172,2.2683244705200196
0.1M,5000,0.1432463675737381,1.6958219766616822,2.1320974349975588
0.1M,6000,0.15289203822612762,1.7320430994033813,2.042307734489441
0.1M,7000,0.16170111298561096,1.79465913772583,1.964104127883911
0.1M,8000,0.16922208666801453,1.8522796154022216,1.9515653133392334
0.1M,9000,0.17594018578529358,1.907135534286499,1.932815957069397
0.1M,10000,0.18189303576946259,1.9567018747329712,1.9031505107879638
0.1M,11000,0.18727728724479675,1.9999268770217895,1.8732918739318847
0.1M,12000,0.19202809035778046,2.052537775039673,1.889962339401245
0.1M,13000,0.19651278853416443,2.089112710952759,1.8380868196487428
0.1M,14000,0.20044679939746857,2.1229151248931886,1.8179728269577027
0.1M,15000,0.20424684882164001,2.1522560596466063,1.8201567888259889
0.1M,16000,0.20774155855178833,2.185555124282837,1.8203826189041137
0.1M,17000,0.2110392302274704,2.2062535285949707,1.7925191640853881
0.1M,18000,0.21402940154075623,2.2464405059814454,1.7763010263442993
0.1M,19000,0.21676743030548096,2.2690855503082275,1.8187472581863404
10K,0,0.14574483036994934,1.173030471801758,4.353209209442139
10K,1000,0.1999722123146057,1.8712278842926025,2.6463369846343996
10K,2000,0.23095200955867767,1.8870510101318358,2.527751588821411
10K,3000,0.2490987330675125,1.9395420789718627,2.4965978622436524
10K,4000,0.2622690796852112,2.0020134925842283,2.48043007850647
10K,5000,0.27249833941459656,2.041774320602417,2.4700039863586425
10K,6000,0.2812180817127228,2.04746150970459,2.4823511123657225
10K,7000,0.2891390919685364,2.0385083198547362,2.4519535064697267
10K,8000,0.29785630106925964,2.0119773626327513,2.427050542831421
10K,9000,0.30626577138900757,2.001374864578247,2.4407819271087647
10K,10000,0.31399786472320557,1.9873128175735473,2.398779535293579
10K,11000,0.3209582567214966,1.9418654441833496,2.401028203964233
10K,12000,0.32760992646217346,1.88952317237854,2.3635273456573485
10K,13000,0.3335104286670685,1.8603742837905883,2.3148895740509032
10K,14000,0.3397165536880493,1.8232404947280885,2.321142625808716
10K,15000,0.3456091284751892,1.8080459356307983,2.274778461456299
10K,16000,0.3517666161060333,1.7907074689865112,2.2679209232330324
10K,17000,0.3573032319545746,1.7829757690429688,2.2312185764312744
10K,18000,0.3628178834915161,1.7818944215774537,2.21222243309021
10K,19000,0.36746832728385925,1.7884779453277588,2.195613384246826
